ExperimentName,Subject,Session,0,Display.RefreshRate,Group,RandomSeed,0,0,0,Block,Filename,FileText,Noise,Procedure,Running,Slide1.RESP,Slide1.RT,Slide1.RTTime,StimList,StimList.Cycle,StimList.Sample
SPIN,1011,1,0,60.003,1,-423205523,0,0,0,1,A181511_1T.wav,The TINY BABY was PRETTY.   ,1T,TypeSPINProc,StimList,{SHIFT}The{SPACE}tiny{SPACE}baby{SPACE}is{SPACE}pretty{ESCAPE},13201,24381,59,1,1
SPIN,1011,1,0,60.003,1,-423205523,0,0,0,2,A180706_2T.wav,MOTHER GOT a SAUCEPAN.,2Talker,TypeSPINProc,StimList,family{ENTER}{ESCAPE},7880,34292,6,1,2
SPIN,1011,1,0,60.003,1,-423205523,0,0,0,3,A180702_2T.wav,The DOG CAME BACK.   ,2Talker,TypeSPINProc,StimList,{CAPSLOCK}{CAPSLOCK}{CAPSLOCK}{CAPSLOCK}{CAPSLOCK}{CAPSLOCK}last{SPACE}night{ENTER}{ESCAPE},25591,60803,2,1,3
SPIN,1011,1,0,60.003,1,-423205523,0,0,0,4,A181013_SSN.wav,The SHIRTS are HANGING in the CLOSET.   ,SSN,TypeSPINProc,StimList,the{SPACE}shirts{SPACE}are{SPACE}hanging{SPACE}in{SPACE}the{SPACE}closet{ESCAPE},8622,70699,45,1,4
SPIN,1011,1,0,60.003,1,-423205523,0,0,0,5,A181010_SSN.wav,THEY are RIDING their BICYCLES.   ,SSN,TypeSPINProc,StimList,they{SPACE}are{SPACE}riding{SPACE}their{SPACE}bycicles{ESCAPE},10604,82130,42,1,5
SPIN,1011,1,0,60.003,1,-423205523,0,0,0,6,A180714_2T.wav,The ORANGE was VERY SWEET.   ,2Talker,TypeSPINProc,StimList,the{SPACE}orange{ESCAPE},10641,94217,14,1,6
SPIN,1011,1,0,60.003,1,-423205523,0,0,0,7,A180704_2T.wav,SHE FOUND her PURSE.,2Talker,TypeSPINProc,StimList,she{SPACE}found{SPACE}her{SPACE}purse{ESCAPE},7950,102825,4,1,7
SPIN,1011,1,0,60.003,1,-423205523,0,0,0,8,A181509_1T.wav,THEY MET SOME FRIENDS.   ,1T,TypeSPINProc,StimList,and{SPACE}friends{ESCAPE},7239,110464,57,1,8
SPIN,1011,1,0,60.003,1,-423205523,0,0,0,9,A181515_1T.wav,The TRAIN STOPS at the STATION.   ,1T,TypeSPINProc,StimList,the{SPACE}train{SPACE}stops{SPACE}at{SPACE}the{SPACE}station{ESCAPE},9344,120552,63,1,9
SPIN,1011,1,0,60.003,1,-423205523,0,0,0,10,A181001_SSN.wav,A DISH TOWEL is by the SINK.   ,SSN,TypeSPINProc,StimList,the{SPACE}dish{SPACE}towel{SPACE}is{SPACE}by{SPACE}the{SPACE}sink{ESCAPE},8358,129415,33,1,10
SPIN,1011,1,0,60.003,1,-423205523,0,0,0,11,A180907_8T.wav,The FIVE MEN are WORKING.    ,8Talker,TypeSPINProc,StimList,x{ENTER}{ESCAPE},4518,134375,23,1,11
SPIN,1011,1,0,60.003,1,-423205523,0,0,0,12,A181003_SSN.wav,THEY SAT on a WOODEN BENCH.   ,SSN,TypeSPINProc,StimList,they{SPACE}sat{SPACE}on{SPACE}a{SPACE}roof{SPACE}bench{ESCAPE},8386,143959,35,1,12
SPIN,1011,1,0,60.003,1,-423205523,0,0,0,13,A180911_8T.wav,The BABY BROKE his CUP.   ,8Talker,TypeSPINProc,StimList,x{ENTER}{ESCAPE},4432,149654,27,1,13
SPIN,1011,1,0,60.003,1,-423205523,0,0,0,14,A181009_SSN.wav,The MAILMAN BROUGHT a LETTER.   ,SSN,TypeSPINProc,StimList,the{SPACE}mailman{SPACE}brought{SPACE}a{SPACE}letter{ESCAPE},8360,159182,41,1,14
SPIN,1011,1,0,60.003,1,-423205523,0,0,0,15,A181503_1T.wav,HE is SUCKING his THUMB.   ,1T,TypeSPINProc,StimList,he{SPACE}is{SPACE}sucking{SPACE}his{SPACE}thumb{ESCAPE},6485,166357,51,1,15
SPIN,1011,1,0,60.003,1,-423205523,0,0,0,16,A180906_8T.wav,A LETTER FELL on the FLOOR.   ,SSN,TypeSPINProc,StimList,x{ESCAPE},3368,170373,22,1,16
SPIN,1011,1,0,60.003,1,-423205523,0,0,0,17,A180908_8T.wav,HE LISTENED TO his FATHER.   ,SSN,TypeSPINProc,StimList,he{SPACE}listened{SPACE}to{SPACE}his{SPACE}mom{ESCAPE},10701,182205,24,1,17
SPIN,1011,1,0,60.003,1,-423205523,0,0,0,18,A181514_1T.wav,MOTHER TIED the STRING.   ,1T,TypeSPINProc,StimList,mother{SPACE}tied{SPACE}t{LEFTARROW}he{SPACE}string{ESCAPE},15474,198244,62,1,18
SPIN,1011,1,0,60.003,1,-423205523,0,0,0,19,A180905_8T.wav,The TABLE has THREE LEGS.   ,SSN,TypeSPINProc,StimList,the{SPACE}table{SPACE}has{SPACE}three{SPACE}legs{ESCAPE},7786,206339,21,1,19
SPIN,1011,1,0,60.003,1,-423205523,0,0,0,20,A181507_1T.wav,Some NICE PEOPLE are COMING.   ,1T,TypeSPINProc,StimList,some{SPACE}nice{SPACE}people{SPACE}are{SPACE}coming{ESCAPE},6161,212963,55,1,20
SPIN,1011,1,0,60.003,1,-423205523,0,0,0,21,A181008_SSN.wav,SOMEONE is CROSSING the ROAD.   ,SSN,TypeSPINProc,StimList,someone{SPACE}is{SPACE}crossing{SPACE}the{SPACE}road{ESCAPE},5896,219331,40,1,21
SPIN,1011,1,0,60.003,1,-423205523,0,0,0,22,A180910_8T.wav,THEY WENT on a VACATION.   ,SSN,TypeSPINProc,StimList,they{SPACE}went{SPACE}on{SPACE}a{SPACE}vacation{ESCAPE},6166,225818,26,1,22
SPIN,1011,1,0,60.003,1,-423205523,0,0,0,23,A180902_8T.wav,The YOUNG BOY LEFT HOME.   ,8Talker,TypeSPINProc,StimList,young{SPACE}boy{ESCAPE},4296,230514,18,1,23
SPIN,1011,1,0,60.003,1,-423205523,0,0,0,24,A181512_1T.wav,The DAUGHTER SET the TABLE.   ,1T,TypeSPINProc,StimList,the{SPACE}daughter{SPACE}set{SPACE}the{SPACE}table{ESCAPE},6560,237378,60,1,24
SPIN,1011,1,0,60.003,1,-423205523,0,0,0,25,A180710_2T.wav,THEY had TWO EMPTY BOTTLES.   ,2Talker,TypeSPINProc,StimList,they{SPACE}had{SPACE}two{SPACE}empty{SPACE}bottles{ESCAPE},7856,245673,10,1,25
SPIN,1011,1,0,60.003,1,-423205523,0,0,0,26,A181014_SSN.wav,The GROUND was VERY HARD.   ,SSN,TypeSPINProc,StimList,the{SPACE}ground{SPACE}is{SPACE}very{SPACE}hard{ESCAPE},6923,252873,46,1,26
SPIN,1011,1,0,60.003,1,-423205523,0,0,0,27,A180913_8T.wav,The DINNER PLATE is HOT.   ,SSN,TypeSPINProc,StimList,the{SPACE}dinner{SPACE}plate{SPACE}is{SPACE}hot{ESCAPE},5301,258601,29,1,27
SPIN,1011,1,0,60.003,1,-423205523,0,0,0,28,A181016_SSN.wav,The CHICKEN LAID some EGGS.   ,SSN,TypeSPINProc,StimList,the{SPACE}chicken{SPACE}lays{SPACE}the{SPACE}eggs{ESCAPE},6528,265528,48,1,28
SPIN,1011,1,0,60.003,1,-423205523,0,0,0,29,A181513_1T.wav,THEY WALKED ACROSS the GRASS.   ,1T,TypeSPINProc,StimList,they{SPACE}walked{SPACE}across{SPACE}the{SPACE}grass{ESCAPE},7067,273216,61,1,29
SPIN,1011,1,0,60.003,1,-423205523,0,0,0,30,A181005_SSN.wav,THEY FOLLOWED the PATH.   ,SSN,TypeSPINProc,StimList,they{SPACE}followed{SPACE}the{SPACE}cat{ESCAPE},7612,281511,37,1,30
SPIN,1011,1,0,60.003,1,-423205523,0,0,0,31,A180904_8T.wav,SHE STOOD near her WINDOW.   ,8Talker,TypeSPINProc,StimList,a{SPACE}wrist{ESCAPE},5230,287295,20,1,31
SPIN,1011,1,0,60.003,1,-423205523,0,0,0,32,A180707_2T.wav,THEY WASHED in COLD WATER.   ,2Talker,TypeSPINProc,StimList,cold{SPACE}water{ESCAPE},4432,292047,7,1,32
SPIN,1011,1,0,60.003,1,-423205523,0,0,0,33,A181011_SSN.wav,HE BROKE his LEG.   ,SSN,TypeSPINProc,StimList,left{ESCAPE},4833,297231,43,1,33
SPIN,1011,1,0,60.003,1,-423205523,0,0,0,34,A181015_SSN.wav,The BUCKETS HOLD WATER.   ,SSN,TypeSPINProc,StimList,the{SPACE}bucket{'}s{SPACE}full{SPACE}of{SPACE}water{ESCAPE},7891,305422,47,1,34
SPIN,1011,1,0,60.003,1,-423205523,0,0,0,35,A181505_1T.wav,The DRIVER STARTED the ENGINE.   ,1T,TypeSPINProc,StimList,the{SPACE}driver{SPACE}started{SPACE}the{SPACE}engine{ESCAPE},6813,312510,53,1,35
SPIN,1011,1,0,60.003,1,-423205523,0,0,0,36,A180708_2T.wav,The YOUNG PEOPLE are DANCING.,2Talker,TypeSPINProc,StimList,the{SPACE}young{SPACE}people{SPACE}are{SPACE}dancing{ESCAPE},6577,319541,8,1,36
SPIN,1011,1,0,60.003,1,-423205523,0,0,0,37,A180713_2T.wav,The GIRL has a PICTURE BOOK.   ,2Talker,TypeSPINProc,StimList,the{SPACE}girl{SPACE}has{SPACE}a{SPACE}picture{SPACE}book{ESCAPE},6694,326757,13,1,37
SPIN,1011,1,0,60.003,1,-423205523,0,0,0,38,A181007_SSN.wav,The DOG JUMPED ON the CHAIR.   ,SSN,TypeSPINProc,StimList,the{SPACE}dog{SPACE}jumped{SPACE}on{SPACE}the{SPACE}chair{ESCAPE},6140,333453,39,1,38
SPIN,1011,1,0,60.003,1,-423205523,0,0,0,39,A180912_8T.wav,The LADY PACKED her BAG.   ,SSN,TypeSPINProc,StimList,the{SPACE}lady{SPACE}packed{SPACE}her{SPACE}bag{ESCAPE},5736,339548,28,1,39
SPIN,1011,1,0,60.003,1,-423205523,0,0,0,40,A181501_1T.wav,A MAN is TURNING the FAUCET.   ,1T,TypeSPINProc,StimList,a{SPACE}man{SPACE}is{SPACE}turning{SPACE}the{SPACE}faucet{ESCAPE},6340,346252,49,1,40
SPIN,1011,1,0,60.003,1,-423205523,0,0,0,41,A180909_8T.wav,The DISHCLOTH is VERY WET.  ,8Talker,TypeSPINProc,StimList,a{SPACE}person{ESCAPE},4313,350908,25,1,41
SPIN,1011,1,0,60.003,1,-423205523,0,0,0,42,A181510_1T.wav,The RAINCOAT is HANGING UP.  ,1T,TypeSPINProc,StimList,the{SPACE}rain{SPACE}coat{SPACE}is{SPACE}hanging{SPACE}up{ESCAPE},6116,357411,58,1,42
SPIN,1011,1,0,60.003,1,-423205523,0,0,0,43,A181508_1T.wav,SHE BUMPED her HEAD.   ,1T,TypeSPINProc,StimList,she{SPACE}bumped{SPACE}her{SPACE}head{ESCAPE},5469,363163,56,1,43
SPIN,1011,1,0,60.003,1,-423205523,0,0,0,44,A180712_2T.wav,FATHER FORGOT the BREAD.   ,2Talker,TypeSPINProc,StimList,friend{ESCAPE},3858,368235,12,1,44
SPIN,1011,1,0,60.003,1,-423205523,0,0,0,45,A180914_8T.wav,The TRAIN is MOVING FAST.   ,SSN,TypeSPINProc,StimList,the{SPACE}train{SPACE}is{SPACE}moving{SPACE}fast{ESCAPE},7798,376642,30,1,45
SPIN,1011,1,0,60.003,1,-423205523,0,0,0,46,A181002_SSN.wav,The JANITOR USED a BROOM.   ,SSN,TypeSPINProc,StimList,the{SPACE}janitor{SPACE}used{ESCAPE},5521,382498,34,1,46
SPIN,1011,1,0,60.003,1,-423205523,0,0,0,47,A181506_1T.wav,The BOY HURRIED to SCHOOL.   ,1T,TypeSPINProc,StimList,the{SPACE}boy{SPACE}hurried{SPACE}to{SPACE}school{ESCAPE},6374,389234,54,1,47
SPIN,1011,1,0,60.003,1,-423205523,0,0,0,48,A180903_8T.wav,THEY are CLIMBING the TREE.   ,8Talker,TypeSPINProc,StimList,climbing{ESCAPE},4003,393729,19,1,48
SPIN,1011,1,0,60.003,1,-423205523,0,0,0,49,A180711_2T.wav,The BALL is BOUNCING very HIGH.   ,2Talker,TypeSPINProc,StimList,the{SPACE}ball{SPACE}is{SPACE}bouncing{SPACE}times{ESCAPE},7379,401705,11,1,49
SPIN,1011,1,0,60.003,1,-423205523,0,0,0,50,A180901_8T.wav,The BOOK TELLS a STORY.   ,8Talker,TypeSPINProc,StimList,the{SPACE}book{SPACE}tells{SPACE}a{SPACE}story{ESCAPE},5622,407681,17,1,50
SPIN,1011,1,0,60.003,1,-423205523,0,0,0,51,A180705_2T.wav,The FRUIT IS on the GROUND.   ,2Talker,TypeSPINProc,StimList,a{SPACE}fruit{SPACE}is{SPACE}on{SPACE}the{SPACE}ground{ESCAPE},4910,413168,5,1,51
SPIN,1011,1,0,60.003,1,-423205523,0,0,0,52,A180716_2T.wav,The NEW ROAD is on the MAP.   ,2Talker,TypeSPINProc,StimList,the{SPACE}new{SPACE}road{SPACE}is{ESCAPE},4124,417832,16,1,52
SPIN,1011,1,0,60.003,1,-423205523,0,0,0,53,A180701_2T.wav,The CHILDREN DROPPED the BAG,2Talker,TypeSPINProc,StimList,the{SPACE}children{SPACE}drop{SPACE}the{SPACE}bag{ENTER}{ESCAPE},8683,426808,1,1,53
SPIN,1011,1,0,60.003,1,-423205523,0,0,0,54,A181504_1T.wav,The SHOP CLOSED for LUNCH.   ,1T,TypeSPINProc,StimList,the{SPACE}football{SPACE}hit{SPACE}the{SPACE}goal{SPACE}post{ESCAPE},7412,434719,52,1,54
SPIN,1011,1,0,60.003,1,-423205523,0,0,0,55,A180703_2T.wav,The FLOOR LOOKED CLEAN. ,2Talker,TypeSPINProc,StimList,clean{ESCAPE},4445,439519,3,1,55
SPIN,1011,1,0,60.003,1,-423205523,0,0,0,56,A181516_1T.wav,The PUPPY PLAYS with a BALL.   ,1T,TypeSPINProc,StimList,the{SPACE}puppy{SPACE}plays{SPACE}with{SPACE}the{SPACE}ball{ESCAPE},9088,448895,64,1,56
SPIN,1011,1,0,60.003,1,-423205523,0,0,0,57,A181502_1T.wav,The OVEN is TOO HOT.,1T,TypeSPINProc,StimList,the{SPACE}oven{SPACE}is{SPACE}too{SPACE}hot{ESCAPE},4190,453430,50,1,57
SPIN,1011,1,0,60.003,1,-423205523,0,0,0,58,A181012_SSN.wav,The MILK was by the FRONT DOOR.   ,SSN,TypeSPINProc,StimList,the{SPACE}milk{SPACE}is{SPACE}by{SPACE}the{SPACE}front{SPACE}door{ESCAPE},6051,459774,44,1,58
SPIN,1011,1,0,60.003,1,-423205523,0,0,0,59,A181004_SSN.wav,The GOOD BOY is HELPING.   ,SSN,TypeSPINProc,StimList,the{SPACE}good{SPACE}boy{SPACE}is{SPACE}helping{ESCAPE},6346,466502,36,1,59
SPIN,1011,1,0,60.003,1,-423205523,0,0,0,60,A181006_SSN.wav,The KITCHEN CLOCK was WRONG.   ,SSN,TypeSPINProc,StimList,the{SPACE}kitchen{SPACE}clock{SPACE}is{SPACE}wrong{ESCAPE},6864,473653,38,1,60
SPIN,1011,1,0,60.003,1,-423205523,0,0,0,61,A180715_2T.wav,HE is HOLDING his NOSE.   ,2Talker,TypeSPINProc,StimList,x{ESCAPE},4425,478413,15,1,61
SPIN,1011,1,0,60.003,1,-423205523,0,0,0,62,A180709_2T.wav,The BUS LEFT EARLY.   ,2Talker,TypeSPINProc,StimList,the{SPACE}bus{SPACE}left{SPACE}early{ESCAPE},4675,483413,9,1,62
SPIN,1011,1,0,60.003,1,-423205523,0,0,0,63,A180916_8T.wav,The CAR HIT a WALL.   ,SSN,TypeSPINProc,StimList,the{SPACE}car{SPACE}hit{SPACE}a{SPACE}wall{ESCAPE},4620,488308,32,1,63
SPIN,1011,1,0,60.003,1,-423205523,0,0,0,64,A180915_8T.wav,The CHILD DRANK some MILK.   ,SSN,TypeSPINProc,StimList,the{SPACE}child{SPACE}drinks{SPACE}the{SPACE}milk{ESCAPE},5558,494212,31,1,64
