aaa,Subject,Block,Filename,,,,,,,,,FileText,Noise,,,Slide1.RESP
,1012,41,A181501_1T.wav,,,,,,,,,A MAN is TURNING the FAUCET.   ,1T,,,A man is turning the faucet{.}{ESCAPE}
,1012,47,A181502_1T.wav,,,,,,,,,The FIRE was VERY HOT.   ,1T,,,The oven is too hot{.}{ESCAPE}
,1012,40,A181503_1T.wav,,,,,,,,,HE is SUCKING his THUMB.   ,1T,,,He is sucking his thumb{.}{ESCAPE}
,1012,48,A181504_1T.wav,,,,,,,,,The SHOP CLOSED for LUNCH.   ,1T,,,The football hit the goal post{.}{ESCAPE}
,1012,1,A181505_1T.wav,,,,,,,,,The DRIVER STARTED the ENGINE.   ,1T,,,people wear stripes{ESCAPE}
,1012,32,A181506_1T.wav,,,,,,,,,The BOY HURRIED to SCHOOL.   ,1T,,,The boy to school{ESCAPE}
,1012,12,A181507_1T.wav,,,,,,,,,Some NICE PEOPLE are COMING.   ,1T,,,The nice people are coming{.}{ESCAPE}
,1012,7,A181508_1T.wav,,,,,,,,,SHE BUMPED her HEAD.   ,1T,,,She bumped her head{.}{ESCAPE}
,1012,30,A181509_1T.wav,,,,,,,,,THEY MET SOME FRIENDS.   ,1T,,,They met some friends{.}{ESCAPE}
,1012,21,A181510_1T.wav,,,,,,,,,FLOWERS GROW in the GARDEN.   ,1T,,,The raincoat is hanging up{.}{ESCAPE}
,1012,54,A181511_1T.wav,,,,,,,,,The TINY BABY was PRETTY.   ,1T,,,The tiny baby was prissed{.}{ESCAPE}
,1012,55,A181512_1T.wav,,,,,,,,,The DAUGHTER SET the TABLE.   ,1T,,,The daughter set the table{.}{ESCAPE}
,1012,35,A181513_1T.wav,,,,,,,,,THEY WALKED ACROSS the GRASS.   ,1T,,,They walked across the grass{.}{ESCAPE}
,1012,51,A181514_1T.wav,,,,,,,,,MOTHER TIED the STRING.   ,1T,,,Mother tied the string{.}{ESCAPE}
,1012,39,A181515_1T.wav,,,,,,,,,The TRAIN STOPS at the STATION.   ,1T,,,The train stops at the station{.}{ESCAPE}
